epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,274.445,1.63295,2.59644,1.24112,0.75665,0.0615,0.06133,0.03509,1.60887,1.78084,1.20922,0.000300705,0.000300705,0.000300705
2,566.491,1.54842,1.49531,1.20312,0.55856,0.04765,0.05439,0.03148,1.47662,1.42244,1.17102,0.000591751,0.000591751,0.000591751
3,906.558,1.54565,1.40021,1.22702,0.49337,0.06529,0.05296,0.02911,1.50592,1.39219,1.22726,0.000870799,0.000870799,0.000870799
4,1246.7,1.50084,1.31871,1.20373,0.46134,0.05412,0.03896,0.0209,1.70104,1.41524,1.27801,0.000855005,0.000855005,0.000855005
5,1679.46,1.46142,1.26306,1.18476,0.51362,0.05193,0.04366,0.02723,1.36668,1.15956,1.12244,0.000837007,0.000837007,0.000837007
6,2152.89,1.46488,1.22436,1.18011,0.56174,0.05524,0.0496,0.02947,1.49746,1.11794,1.17152,0.000819009,0.000819009,0.000819009
7,2653.44,1.43156,1.16916,1.15967,0.58847,0.05659,0.05446,0.03125,1.36415,1.06384,1.11309,0.000801011,0.000801011,0.000801011
8,3124.93,1.40686,1.13206,1.15728,0.31367,0.04629,0.0427,0.02579,1.34526,1.05501,1.11685,0.000783013,0.000783013,0.000783013
9,3598.49,1.39176,1.09745,1.14701,0.49498,0.06383,0.04681,0.0291,1.36333,0.99278,1.11942,0.000765014,0.000765014,0.000765014
10,4107.56,1.3896,1.08558,1.1498,0.564,0.06183,0.05272,0.02806,1.46608,1.02541,1.15337,0.000747016,0.000747016,0.000747016
11,4593.2,1.38312,1.06233,1.14219,0.44113,0.06485,0.06896,0.03882,1.33714,0.96607,1.09736,0.000729018,0.000729018,0.000729018
